ID,Brand,CPU,GPU,RAM,Storage,Screen,Operating_System,Price_USD
4586,Acer,Intel Core i9-14900K,Intel Arc A770,128GB DDR5,1TB SSD,"14"" 4K",Windows 11,4374.05
4587,Lenovo,AMD Ryzen 7 7800X,NVIDIA RTX 4090,64GB DDR5,1TB SSD,"17.3"" QHD",macOS Sonoma,4907.28
4588,HP,Intel Core i7-14700K,NVIDIA RTX 4070 Ti,128GB DDR5,1TB SSD + 2TB HDD,"15.6"" FHD",macOS Sonoma,4149.64
4589,Razer,AMD Ryzen 9 7950X,NVIDIA RTX 4070 Ti,32GB DDR4,1TB SSD,"13.3"" Retina",Ubuntu 22.04,3641.2
4590,Razer,AMD Ryzen 5 7600X,AMD Radeon RX 7800 XT,16GB DDR4,512GB SSD,"15.6"" FHD",Windows 11,1479.72
4591,Razer,Intel Core i7-14700K,Intel Arc A770,32GB DDR4,2TB SSD,"17.3"" QHD",Windows 11,3533.96
4592,Dell,AMD Ryzen 5 7600X,AMD Radeon RX 7900 XTX,64GB DDR5,1TB SSD + 2TB HDD,"17.3"" QHD",Windows 11,3242.17
4593,Acer,Intel Core i9-14900K,NVIDIA RTX 4070 Ti,32GB DDR4,512GB SSD,"14"" 4K",Windows 11,3013.72
4594,Acer,Intel Core i9-14900K,NVIDIA RTX 4070 Ti,64GB DDR5,1TB SSD + 2TB HDD,"15.6"" FHD",Windows 11,3378.32
4595,Apple,AMD Ryzen 7 7800X,NVIDIA RTX 4090,16GB DDR4,2TB SSD,"14"" 4K",Windows 10 Pro,1485.21
4596,Apple,Intel Core i9-14900K,AMD Radeon RX 7800 XT,32GB DDR4,512GB SSD,"14"" 4K",Windows 11,1198.07
4597,Asus,AMD Ryzen 5 7600X,NVIDIA RTX 4070 Ti,128GB DDR5,1TB SSD + 2TB HDD,"13.3"" Retina",Windows 11,3073.06
4598,Razer,AMD Ryzen 5 7600X,NVIDIA RTX 4090,16GB DDR4,1TB SSD + 2TB HDD,"15.6"" FHD",Windows 11,1649.16
4599,Acer,AMD Ryzen 9 7950X,AMD Radeon RX 7800 XT,64GB DDR5,1TB SSD,"15.6"" FHD",macOS Sonoma,4511.28
4600,Samsung,AMD Ryzen 9 7950X,NVIDIA RTX 4070 Ti,128GB DDR5,2TB SSD,"14"" 4K",Windows 10 Pro,1278.8
4601,HP,AMD Ryzen 7 7800X,AMD Radeon RX 7800 XT,64GB DDR5,1TB SSD,"17.3"" QHD",macOS Sonoma,1151.9
4602,Samsung,Intel Core i7-14700K,AMD Radeon RX 7900 XTX,16GB DDR4,1TB SSD,"17.3"" QHD",macOS Sonoma,1783.19
4603,Acer,Intel Core i9-14900K,NVIDIA RTX 4090,128GB DDR5,1TB SSD,"13.3"" Retina",Ubuntu 22.04,4837.88
4604,Microsoft,AMD Ryzen 7 7800X,AMD Radeon RX 7800 XT,128GB DDR5,512GB SSD,"17.3"" QHD",Ubuntu 22.04,4201.45
4605,Apple,Intel Core i5-14600K,NVIDIA RTX 4080,16GB DDR4,2TB SSD,"14"" 4K",Windows 10 Pro,2387.96
4606,Lenovo,AMD Ryzen 5 7600X,NVIDIA RTX 4090,64GB DDR5,2TB SSD,"17.3"" QHD",Windows 10 Pro,2331.99
4607,Asus,Intel Core i7-14700K,NVIDIA RTX 4090,64GB DDR5,2TB SSD,"13.3"" Retina",Ubuntu 22.04,4878.95
4608,Microsoft,AMD Ryzen 9 7950X,NVIDIA RTX 4070 Ti,64GB DDR5,1TB SSD,"15.6"" FHD",Windows 10 Pro,3771.38
4609,Razer,AMD Ryzen 7 7800X,NVIDIA RTX 4080,64GB DDR5,512GB SSD,"13.3"" Retina",macOS Sonoma,2868.91
4610,HP,Intel Core i7-14700K,AMD Radeon RX 7900 XTX,64GB DDR5,1TB SSD,"17.3"" QHD",Windows 11,1954.02
4611,Dell,Intel Core i7-14700K,NVIDIA RTX 4080,128GB DDR5,1TB SSD,"17.3"" QHD",Ubuntu 22.04,1211.35
4612,Microsoft,Intel Core i5-14600K,AMD Radeon RX 7800 XT,16GB DDR4,1TB SSD + 2TB HDD,"15.6"" FHD",macOS Sonoma,3419.58
4613,Dell,Intel Core i9-14900K,NVIDIA RTX 4070 Ti,32GB DDR4,1TB SSD,"15.6"" FHD",macOS Sonoma,2313.96
4614,Lenovo,Intel Core i9-14900K,NVIDIA RTX 4080,64GB DDR5,2TB SSD,"14"" 4K",Ubuntu 22.04,1967.99
4615,Lenovo,Intel Core i5-14600K,NVIDIA RTX 4070 Ti,64GB DDR5,512GB SSD,"14"" 4K",macOS Sonoma,1246.01
4616,Samsung,Intel Core i9-14900K,NVIDIA RTX 4080,128GB DDR5,1TB SSD + 2TB HDD,"17.3"" QHD",macOS Sonoma,3901.34
4617,Microsoft,Intel Core i9-14900K,Intel Arc A770,16GB DDR4,2TB SSD,"17.3"" QHD",Windows 11,3369.76
4618,Samsung,Intel Core i9-14900K,AMD Radeon RX 7900 XTX,64GB DDR5,512GB SSD,"17.3"" QHD",Ubuntu 22.04,4758.0
4619,MSI,Intel Core i9-14900K,AMD Radeon RX 7900 XTX,16GB DDR4,1TB SSD + 2TB HDD,"14"" 4K",macOS Sonoma,3381.34
4620,MSI,AMD Ryzen 7 7800X,AMD Radeon RX 7800 XT,32GB DDR4,2TB SSD,"13.3"" Retina",Ubuntu 22.04,3091.01
4621,Apple,Intel Core i9-14900K,AMD Radeon RX 7900 XTX,16GB DDR4,2TB SSD,"15.6"" FHD",Windows 10 Pro,725.27
4622,Samsung,Intel Core i7-14700K,Intel Arc A770,128GB DDR5,2TB SSD,"17.3"" QHD",Windows 11,3136.17
4623,Razer,AMD Ryzen 9 7950X,AMD Radeon RX 7800 XT,64GB DDR5,2TB SSD,"15.6"" FHD",macOS Sonoma,4054.45
4624,Acer,Intel Core i9-14900K,AMD Radeon RX 7900 XTX,64GB DDR5,2TB SSD,"17.3"" QHD",Ubuntu 22.04,2067.54
4625,Lenovo,Intel Core i5-14600K,NVIDIA RTX 4070 Ti,128GB DDR5,2TB SSD,"17.3"" QHD",Ubuntu 22.04,3323.28
4626,Microsoft,Intel Core i5-14600K,NVIDIA RTX 4090,128GB DDR5,512GB SSD,"17.3"" QHD",macOS Sonoma,3925.25
4627,Samsung,AMD Ryzen 5 7600X,AMD Radeon RX 7800 XT,16GB DDR4,2TB SSD,"15.6"" FHD",Windows 11,3868.71
4628,Samsung,Intel Core i9-14900K,AMD Radeon RX 7800 XT,16GB DDR4,2TB SSD,"13.3"" Retina",macOS Sonoma,2890.83
4629,Razer,Intel Core i5-14600K,NVIDIA RTX 4090,16GB DDR4,512GB SSD,"17.3"" QHD",Windows 11,4348.15
4630,Apple,AMD Ryzen 9 7950X,NVIDIA RTX 4080,128GB DDR5,512GB SSD,"14"" 4K",Ubuntu 22.04,3278.48
4631,Microsoft,AMD Ryzen 5 7600X,AMD Radeon RX 7800 XT,32GB DDR4,1TB SSD,"15.6"" FHD",Ubuntu 22.04,2395.51
4632,Acer,Intel Core i9-14900K,Intel Arc A770,128GB DDR5,1TB SSD,"17.3"" QHD",Ubuntu 22.04,2589.33
4633,Dell,AMD Ryzen 5 7600X,AMD Radeon RX 7900 XTX,32GB DDR4,512GB SSD,"14"" 4K",Windows 11,1432.94
4634,Lenovo,Intel Core i7-14700K,AMD Radeon RX 7800 XT,16GB DDR4,1TB SSD + 2TB HDD,"13.3"" Retina",Windows 11,4066.18
4635,Dell,AMD Ryzen 9 7950X,Intel Arc A770,16GB DDR4,1TB SSD + 2TB HDD,"17.3"" QHD",Windows 11,2718.66
4636,Acer,AMD Ryzen 5 7600X,AMD Radeon RX 7800 XT,32GB DDR4,1TB SSD,"13.3"" Retina",Ubuntu 22.04,2010.63
4637,Razer,AMD Ryzen 7 7800X,AMD Radeon RX 7900 XTX,128GB DDR5,2TB SSD,"14"" 4K",macOS Sonoma,4222.99
4638,Asus,AMD Ryzen 7 7800X,NVIDIA RTX 4090,16GB DDR4,1TB SSD,"15.6"" FHD",Windows 10 Pro,2978.43
4639,HP,AMD Ryzen 7 7800X,AMD Radeon RX 7900 XTX,16GB DDR4,512GB SSD,"13.3"" Retina",Ubuntu 22.04,4064.12
4640,Acer,Intel Core i5-14600K,AMD Radeon RX 7900 XTX,32GB DDR4,1TB SSD,"15.6"" FHD",Windows 10 Pro,1792.45
4641,MSI,AMD Ryzen 9 7950X,AMD Radeon RX 7800 XT,64GB DDR5,1TB SSD + 2TB HDD,"17.3"" QHD",Ubuntu 22.04,1157.69
4642,HP,AMD Ryzen 5 7600X,NVIDIA RTX 4080,16GB DDR4,1TB SSD + 2TB HDD,"13.3"" Retina",Windows 11,727.72
4643,Lenovo,Intel Core i9-14900K,NVIDIA RTX 4090,128GB DDR5,2TB SSD,"14"" 4K",Windows 11,1333.24
4644,Apple,Intel Core i5-14600K,AMD Radeon RX 7800 XT,128GB DDR5,1TB SSD + 2TB HDD,"14"" 4K",Windows 10 Pro,905.42
4645,Acer,Intel Core i7-14700K,AMD Radeon RX 7800 XT,32GB DDR4,2TB SSD,"13.3"" Retina",Windows 11,4944.17
4646,Microsoft,AMD Ryzen 7 7800X,NVIDIA RTX 4070 Ti,32GB DDR4,512GB SSD,"14"" 4K",macOS Sonoma,3653.13
4647,MSI,Intel Core i7-14700K,Intel Arc A770,64GB DDR5,2TB SSD,"13.3"" Retina",Windows 11,4556.95
4648,Acer,AMD Ryzen 9 7950X,AMD Radeon RX 7900 XTX,64GB DDR5,2TB SSD,"15.6"" FHD",Ubuntu 22.04,880.69
4649,Lenovo,AMD Ryzen 7 7800X,Intel Arc A770,16GB DDR4,1TB SSD,"13.3"" Retina",Ubuntu 22.04,3291.22
4650,Dell,AMD Ryzen 9 7950X,AMD Radeon RX 7900 XTX,128GB DDR5,2TB SSD,"17.3"" QHD",Ubuntu 22.04,1535.05
4651,HP,Intel Core i5-14600K,AMD Radeon RX 7900 XTX,64GB DDR5,1TB SSD,"14"" 4K",macOS Sonoma,1561.06
4652,Samsung,Intel Core i9-14900K,AMD Radeon RX 7800 XT,32GB DDR4,1TB SSD + 2TB HDD,"14"" 4K",Ubuntu 22.04,2320.51
4653,Samsung,Intel Core i7-14700K,AMD Radeon RX 7900 XTX,32GB DDR4,1TB SSD + 2TB HDD,"13.3"" Retina",Windows 11,2712.79
4654,HP,Intel Core i9-14900K,AMD Radeon RX 7800 XT,32GB DDR4,512GB SSD,"17.3"" QHD",Windows 11,3100.58
4655,HP,AMD Ryzen 5 7600X,Intel Arc A770,16GB DDR4,1TB SSD,"13.3"" Retina",macOS Sonoma,4032.98
4656,MSI,AMD Ryzen 5 7600X,AMD Radeon RX 7900 XTX,32GB DDR4,512GB SSD,"15.6"" FHD",macOS Sonoma,3345.72
4657,Dell,Intel Core i7-14700K,NVIDIA RTX 4070 Ti,128GB DDR5,512GB SSD,"14"" 4K",Windows 10 Pro,4814.01
4658,Samsung,AMD Ryzen 5 7600X,NVIDIA RTX 4070 Ti,128GB DDR5,512GB SSD,"17.3"" QHD",macOS Sonoma,2889.24
4659,Lenovo,AMD Ryzen 5 7600X,NVIDIA RTX 4090,16GB DDR4,1TB SSD + 2TB HDD,"14"" 4K",Windows 10 Pro,3129.71
4660,Dell,Intel Core i7-14700K,Intel Arc A770,64GB DDR5,1TB SSD + 2TB HDD,"17.3"" QHD",Windows 10 Pro,2873.89
4661,Samsung,AMD Ryzen 9 7950X,AMD Radeon RX 7900 XTX,64GB DDR5,2TB SSD,"15.6"" FHD",Windows 11,1467.73
4662,Lenovo,Intel Core i9-14900K,NVIDIA RTX 4070 Ti,64GB DDR5,1TB SSD,"17.3"" QHD",Windows 11,3696.88
4663,Apple,AMD Ryzen 5 7600X,AMD Radeon RX 7900 XTX,128GB DDR5,512GB SSD,"14"" 4K",Windows 10 Pro,2167.15
4664,Asus,Intel Core i7-14700K,AMD Radeon RX 7900 XTX,128GB DDR5,1TB SSD + 2TB HDD,"15.6"" FHD",Ubuntu 22.04,1734.97
4665,Dell,Intel Core i5-14600K,AMD Radeon RX 7900 XTX,128GB DDR5,2TB SSD,"13.3"" Retina",Windows 11,4991.08
4666,Apple,Intel Core i7-14700K,NVIDIA RTX 4070 Ti,128GB DDR5,2TB SSD,"17.3"" QHD",Ubuntu 22.04,3281.69
4667,Dell,Intel Core i7-14700K,AMD Radeon RX 7900 XTX,128GB DDR5,2TB SSD,"17.3"" QHD",Ubuntu 22.04,2999.51
4668,Lenovo,Intel Core i9-14900K,AMD Radeon RX 7900 XTX,16GB DDR4,512GB SSD,"14"" 4K",Windows 10 Pro,3782.27
4669,Lenovo,Intel Core i5-14600K,NVIDIA RTX 4090,64GB DDR5,2TB SSD,"15.6"" FHD",Windows 11,2855.2
4670,HP,Intel Core i5-14600K,NVIDIA RTX 4070 Ti,64GB DDR5,512GB SSD,"13.3"" Retina",Windows 10 Pro,2670.0
4671,Samsung,AMD Ryzen 9 7950X,AMD Radeon RX 7800 XT,128GB DDR5,512GB SSD,"14"" 4K",Windows 11,4170.56
4672,Dell,Intel Core i7-14700K,NVIDIA RTX 4070 Ti,128GB DDR5,1TB SSD,"17.3"" QHD",Windows 10 Pro,1586.08
4673,Razer,AMD Ryzen 9 7950X,Intel Arc A770,16GB DDR4,1TB SSD,"14"" 4K",Windows 11,1105.78
4674,Samsung,Intel Core i7-14700K,NVIDIA RTX 4090,64GB DDR5,512GB SSD,"17.3"" QHD",Windows 11,2807.51
4675,Apple,Intel Core i9-14900K,NVIDIA RTX 4080,16GB DDR4,512GB SSD,"13.3"" Retina",macOS Sonoma,4977.33
4676,Samsung,AMD Ryzen 5 7600X,NVIDIA RTX 4090,64GB DDR5,1TB SSD + 2TB HDD,"13.3"" Retina",Ubuntu 22.04,1262.67
4677,Acer,AMD Ryzen 5 7600X,NVIDIA RTX 4070 Ti,128GB DDR5,2TB SSD,"13.3"" Retina",macOS Sonoma,1298.37
4678,Lenovo,AMD Ryzen 7 7800X,AMD Radeon RX 7900 XTX,32GB DDR4,1TB SSD + 2TB HDD,"14"" 4K",Windows 10 Pro,2274.74
4679,Razer,Intel Core i5-14600K,NVIDIA RTX 4080,128GB DDR5,1TB SSD,"14"" 4K",Ubuntu 22.04,1052.87
4680,Apple,Intel Core i5-14600K,Intel Arc A770,128GB DDR5,1TB SSD,"13.3"" Retina",Ubuntu 22.04,3382.03
4681,Samsung,Intel Core i7-14700K,Intel Arc A770,32GB DDR4,1TB SSD,"17.3"" QHD",Windows 10 Pro,4950.83
4682,HP,Intel Core i7-14700K,NVIDIA RTX 4070 Ti,128GB DDR5,1TB SSD + 2TB HDD,"17.3"" QHD",Windows 10 Pro,3748.95
4683,Dell,Intel Core i7-14700K,AMD Radeon RX 7900 XTX,128GB DDR5,1TB SSD,"15.6"" FHD",Ubuntu 22.04,3253.85
4684,Apple,AMD Ryzen 7 7800X,AMD Radeon RX 7900 XTX,16GB DDR4,2TB SSD,"15.6"" FHD",Windows 10 Pro,4831.29
4685,HP,Intel Core i5-14600K,NVIDIA RTX 4070 Ti,32GB DDR4,1TB SSD + 2TB HDD,"14"" 4K",macOS Sonoma,3603.28
4686,Samsung,Intel Core i9-14900K,NVIDIA RTX 4090,128GB DDR5,1TB SSD,"13.3"" Retina",Windows 10 Pro,2689.98
4687,HP,AMD Ryzen 5 7600X,NVIDIA RTX 4070 Ti,16GB DDR4,512GB SSD,"14"" 4K",Windows 10 Pro,2302.6
4688,Dell,AMD Ryzen 5 7600X,NVIDIA RTX 4070 Ti,128GB DDR5,1TB SSD + 2TB HDD,"15.6"" FHD",Ubuntu 22.04,3391.06
4689,Razer,AMD Ryzen 9 7950X,NVIDIA RTX 4080,64GB DDR5,2TB SSD,"14"" 4K",Windows 11,4347.08
4690,Asus,AMD Ryzen 5 7600X,NVIDIA RTX 4080,64GB DDR5,2TB SSD,"15.6"" FHD",macOS Sonoma,4555.29
4691,Apple,AMD Ryzen 7 7800X,NVIDIA RTX 4090,16GB DDR4,1TB SSD,"15.6"" FHD",Ubuntu 22.04,2892.65
4692,Apple,Intel Core i5-14600K,NVIDIA RTX 4090,32GB DDR4,1TB SSD,"15.6"" FHD",macOS Sonoma,4692.54
4693,Acer,AMD Ryzen 9 7950X,AMD Radeon RX 7800 XT,128GB DDR5,1TB SSD,"14"" 4K",Ubuntu 22.04,4881.2
4694,HP,AMD Ryzen 7 7800X,NVIDIA RTX 4090,16GB DDR4,512GB SSD,"13.3"" Retina",Ubuntu 22.04,1272.25
4695,Samsung,Intel Core i9-14900K,NVIDIA RTX 4070 Ti,32GB DDR4,1TB SSD + 2TB HDD,"14"" 4K",Windows 10 Pro,4705.04
4696,Razer,AMD Ryzen 9 7950X,NVIDIA RTX 4090,64GB DDR5,2TB SSD,"15.6"" FHD",macOS Sonoma,738.2
4697,Razer,Intel Core i9-14900K,AMD Radeon RX 7900 XTX,32GB DDR4,2TB SSD,"17.3"" QHD",Windows 11,1714.21
4698,Razer,Intel Core i7-14700K,NVIDIA RTX 4090,16GB DDR4,512GB SSD,"14"" 4K",macOS Sonoma,1738.82
4699,Microsoft,AMD Ryzen 5 7600X,NVIDIA RTX 4090,128GB DDR5,512GB SSD,"17.3"" QHD",Ubuntu 22.04,1451.86
4700,Samsung,Intel Core i7-14700K,AMD Radeon RX 7800 XT,32GB DDR4,1TB SSD,"13.3"" Retina",Windows 10 Pro,1618.31
4701,Dell,Intel Core i7-14700K,NVIDIA RTX 4090,16GB DDR4,1TB SSD,"14"" 4K",Windows 11,2385.28
4702,Dell,Intel Core i7-14700K,NVIDIA RTX 4080,32GB DDR4,512GB SSD,"15.6"" FHD",Windows 11,3562.82
4703,Razer,Intel Core i5-14600K,AMD Radeon RX 7900 XTX,128GB DDR5,512GB SSD,"17.3"" QHD",macOS Sonoma,2465.29
4704,Razer,AMD Ryzen 7 7800X,AMD Radeon RX 7800 XT,32GB DDR4,512GB SSD,"17.3"" QHD",macOS Sonoma,711.4
4705,Apple,AMD Ryzen 5 7600X,AMD Radeon RX 7900 XTX,16GB DDR4,2TB SSD,"17.3"" QHD",Windows 10 Pro,3969.62
4706,Acer,AMD Ryzen 5 7600X,Intel Arc A770,32GB DDR4,512GB SSD,"15.6"" FHD",Windows 10 Pro,1826.32
4707,HP,Intel Core i9-14900K,AMD Radeon RX 7900 XTX,64GB DDR5,1TB SSD,"13.3"" Retina",Ubuntu 22.04,4129.09
4708,Samsung,AMD Ryzen 9 7950X,AMD Radeon RX 7800 XT,64GB DDR5,1TB SSD,"17.3"" QHD",Windows 10 Pro,3836.62
4709,Dell,Intel Core i7-14700K,NVIDIA RTX 4080,128GB DDR5,2TB SSD,"17.3"" QHD",Windows 11,4880.86
4710,Asus,AMD Ryzen 9 7950X,NVIDIA RTX 4070 Ti,128GB DDR5,1TB SSD + 2TB HDD,"15.6"" FHD",macOS Sonoma,3340.39
4711,Dell,Intel Core i5-14600K,NVIDIA RTX 4080,32GB DDR4,2TB SSD,"14"" 4K",Windows 10 Pro,794.67
4712,Microsoft,AMD Ryzen 5 7600X,AMD Radeon RX 7800 XT,64GB DDR5,2TB SSD,"17.3"" QHD",macOS Sonoma,1210.44
4713,MSI,Intel Core i5-14600K,NVIDIA RTX 4070 Ti,16GB DDR4,1TB SSD + 2TB HDD,"14"" 4K",Ubuntu 22.04,4938.64
4714,Acer,AMD Ryzen 5 7600X,AMD Radeon RX 7800 XT,32GB DDR4,512GB SSD,"17.3"" QHD",Windows 11,1431.08
4715,HP,AMD Ryzen 5 7600X,NVIDIA RTX 4070 Ti,32GB DDR4,2TB SSD,"17.3"" QHD",Windows 11,3139.88
4716,Dell,AMD Ryzen 5 7600X,NVIDIA RTX 4070 Ti,32GB DDR4,2TB SSD,"13.3"" Retina",Ubuntu 22.04,1857.66
4717,HP,Intel Core i9-14900K,NVIDIA RTX 4080,32GB DDR4,2TB SSD,"13.3"" Retina",Ubuntu 22.04,2119.8
4718,MSI,Intel Core i5-14600K,AMD Radeon RX 7800 XT,128GB DDR5,512GB SSD,"14"" 4K",Windows 10 Pro,3931.58
4719,Asus,Intel Core i5-14600K,NVIDIA RTX 4090,16GB DDR4,1TB SSD + 2TB HDD,"14"" 4K",Ubuntu 22.04,3607.61
4720,Asus,Intel Core i5-14600K,AMD Radeon RX 7900 XTX,32GB DDR4,2TB SSD,"14"" 4K",Windows 10 Pro,3699.57
4721,Microsoft,Intel Core i5-14600K,Intel Arc A770,32GB DDR4,1TB SSD + 2TB HDD,"14"" 4K",Ubuntu 22.04,1197.56
4722,HP,Intel Core i9-14900K,AMD Radeon RX 7800 XT,128GB DDR5,1TB SSD,"17.3"" QHD",Windows 11,1575.29
4723,Acer,AMD Ryzen 7 7800X,AMD Radeon RX 7900 XTX,32GB DDR4,1TB SSD,"14"" 4K",Ubuntu 22.04,1627.11
4724,MSI,AMD Ryzen 5 7600X,AMD Radeon RX 7800 XT,64GB DDR5,1TB SSD + 2TB HDD,"17.3"" QHD",Ubuntu 22.04,2000.03
4725,Samsung,AMD Ryzen 7 7800X,AMD Radeon RX 7900 XTX,16GB DDR4,1TB SSD,"17.3"" QHD",Windows 11,1586.26
4726,HP,Intel Core i9-14900K,Intel Arc A770,32GB DDR4,1TB SSD,"15.6"" FHD",macOS Sonoma,3456.7
4727,Apple,AMD Ryzen 9 7950X,AMD Radeon RX 7900 XTX,64GB DDR5,2TB SSD,"15.6"" FHD",macOS Sonoma,3856.01
4728,Apple,AMD Ryzen 9 7950X,AMD Radeon RX 7800 XT,16GB DDR4,512GB SSD,"15.6"" FHD",Windows 11,2473.25
4729,Asus,AMD Ryzen 9 7950X,NVIDIA RTX 4080,32GB DDR4,2TB SSD,"15.6"" FHD",macOS Sonoma,2387.79
4730,Asus,AMD Ryzen 5 7600X,AMD Radeon RX 7800 XT,16GB DDR4,1TB SSD,"13.3"" Retina",macOS Sonoma,3040.95
4731,Lenovo,Intel Core i9-14900K,AMD Radeon RX 7900 XTX,128GB DDR5,2TB SSD,"14"" 4K",Windows 10 Pro,2726.03
4732,Lenovo,AMD Ryzen 9 7950X,NVIDIA RTX 4090,128GB DDR5,1TB SSD + 2TB HDD,"15.6"" FHD",Windows 10 Pro,4793.05
4733,MSI,Intel Core i7-14700K,NVIDIA RTX 4080,16GB DDR4,1TB SSD,"15.6"" FHD",Windows 11,3384.18
4734,MSI,AMD Ryzen 9 7950X,Intel Arc A770,16GB DDR4,512GB SSD,"13.3"" Retina",Ubuntu 22.04,3784.99
4735,Asus,AMD Ryzen 9 7950X,NVIDIA RTX 4090,32GB DDR4,1TB SSD,"17.3"" QHD",Windows 11,1721.13
4736,Apple,Intel Core i5-14600K,NVIDIA RTX 4070 Ti,64GB DDR5,512GB SSD,"15.6"" FHD",Windows 11,1543.82
4737,Razer,Intel Core i5-14600K,Intel Arc A770,32GB DDR4,2TB SSD,"13.3"" Retina",Ubuntu 22.04,736.37
4738,Samsung,AMD Ryzen 9 7950X,NVIDIA RTX 4070 Ti,32GB DDR4,1TB SSD + 2TB HDD,"17.3"" QHD",Windows 10 Pro,2300.73
4739,Samsung,Intel Core i7-14700K,Intel Arc A770,128GB DDR5,1TB SSD,"14"" 4K",macOS Sonoma,2223.16
4740,Acer,Intel Core i5-14600K,NVIDIA RTX 4080,32GB DDR4,1TB SSD + 2TB HDD,"13.3"" Retina",Windows 11,1150.91
4741,Apple,Intel Core i5-14600K,NVIDIA RTX 4070 Ti,32GB DDR4,1TB SSD,"14"" 4K",Windows 11,2440.84
4742,Acer,Intel Core i7-14700K,NVIDIA RTX 4090,32GB DDR4,2TB SSD,"13.3"" Retina",Windows 11,3849.92
4743,Acer,Intel Core i7-14700K,NVIDIA RTX 4090,32GB DDR4,2TB SSD,"17.3"" QHD",Windows 11,4489.26
4744,Microsoft,Intel Core i5-14600K,AMD Radeon RX 7800 XT,64GB DDR5,1TB SSD + 2TB HDD,"15.6"" FHD",Windows 10 Pro,2641.81
4745,Razer,Intel Core i7-14700K,AMD Radeon RX 7900 XTX,16GB DDR4,1TB SSD + 2TB HDD,"15.6"" FHD",Windows 11,3239.48
4746,Dell,AMD Ryzen 5 7600X,NVIDIA RTX 4090,128GB DDR5,512GB SSD,"15.6"" FHD",Ubuntu 22.04,2178.52
4747,MSI,Intel Core i9-14900K,AMD Radeon RX 7800 XT,16GB DDR4,1TB SSD,"17.3"" QHD",Windows 10 Pro,3412.02
4748,Apple,AMD Ryzen 7 7800X,AMD Radeon RX 7900 XTX,16GB DDR4,1TB SSD,"17.3"" QHD",Windows 11,1497.28
4749,HP,AMD Ryzen 7 7800X,NVIDIA RTX 4070 Ti,64GB DDR5,1TB SSD,"15.6"" FHD",macOS Sonoma,765.92
4750,HP,Intel Core i7-14700K,Intel Arc A770,64GB DDR5,1TB SSD + 2TB HDD,"17.3"" QHD",macOS Sonoma,2438.21
4751,Acer,AMD Ryzen 7 7800X,AMD Radeon RX 7900 XTX,32GB DDR4,2TB SSD,"17.3"" QHD",Windows 10 Pro,4104.24
4752,Dell,Intel Core i5-14600K,NVIDIA RTX 4090,128GB DDR5,1TB SSD + 2TB HDD,"14"" 4K",macOS Sonoma,4222.77
4753,Microsoft,Intel Core i9-14900K,NVIDIA RTX 4090,32GB DDR4,1TB SSD + 2TB HDD,"13.3"" Retina",Windows 11,1949.87
4754,Apple,Intel Core i5-14600K,Intel Arc A770,32GB DDR4,512GB SSD,"13.3"" Retina",macOS Sonoma,3729.47
4755,MSI,Intel Core i7-14700K,AMD Radeon RX 7900 XTX,32GB DDR4,512GB SSD,"15.6"" FHD",Windows 11,2195.34
4756,Razer,AMD Ryzen 5 7600X,AMD Radeon RX 7800 XT,64GB DDR5,2TB SSD,"17.3"" QHD",Windows 10 Pro,2063.77
4757,Apple,AMD Ryzen 7 7800X,AMD Radeon RX 7800 XT,128GB DDR5,2TB SSD,"17.3"" QHD",Windows 10 Pro,974.14
4758,Microsoft,AMD Ryzen 9 7950X,NVIDIA RTX 4080,64GB DDR5,2TB SSD,"17.3"" QHD",Ubuntu 22.04,4907.12
4759,Microsoft,Intel Core i7-14700K,NVIDIA RTX 4090,32GB DDR4,1TB SSD + 2TB HDD,"17.3"" QHD",macOS Sonoma,2814.11
4760,Acer,AMD Ryzen 7 7800X,AMD Radeon RX 7800 XT,64GB DDR5,2TB SSD,"14"" 4K",Ubuntu 22.04,4168.09
4761,Asus,Intel Core i5-14600K,NVIDIA RTX 4080,128GB DDR5,2TB SSD,"13.3"" Retina",macOS Sonoma,2650.14
4762,MSI,AMD Ryzen 7 7800X,NVIDIA RTX 4070 Ti,128GB DDR5,512GB SSD,"15.6"" FHD",macOS Sonoma,3296.19
4763,Razer,AMD Ryzen 5 7600X,NVIDIA RTX 4070 Ti,16GB DDR4,2TB SSD,"13.3"" Retina",Windows 10 Pro,1131.93
4764,Samsung,Intel Core i9-14900K,AMD Radeon RX 7900 XTX,64GB DDR5,1TB SSD,"15.6"" FHD",Windows 10 Pro,2142.66
4765,Dell,AMD Ryzen 5 7600X,AMD Radeon RX 7900 XTX,16GB DDR4,512GB SSD,"14"" 4K",Ubuntu 22.04,1300.27
4766,Acer,AMD Ryzen 9 7950X,NVIDIA RTX 4090,64GB DDR5,1TB SSD,"15.6"" FHD",macOS Sonoma,4519.79
4767,Dell,AMD Ryzen 9 7950X,AMD Radeon RX 7900 XTX,16GB DDR4,2TB SSD,"17.3"" QHD",Windows 10 Pro,3855.51
4768,Asus,AMD Ryzen 5 7600X,NVIDIA RTX 4080,64GB DDR5,2TB SSD,"15.6"" FHD",Windows 11,4634.3
4769,Samsung,AMD Ryzen 5 7600X,NVIDIA RTX 4080,128GB DDR5,1TB SSD + 2TB HDD,"14"" 4K",macOS Sonoma,1376.43
